TextID,EN,ES,DE,FR,AlarmCode,AlarmSeverity,AlarmVar
Inks.Alarm.DigSensError_B01,Inks.Alarm.DigSensError_B01,Inks.Alarm.DigSensError_B01,NoValue,NoValue,10101,1,gInks[1].Al.xAlrTankDigitalSensorsError
Inks.Alarm.xAlrVacuum1_B01,xAlrVacuum1_B01,xAlrVacuum1_B01,NoValue,NoValue,10102,1,gInks[1].Al.xAlrVacuum1
Inks.Alarm.xAlrVacuum2_B01,xAlrVacuum2_B01,xAlrVacuum2_B01,NoValue,NoValue,10103,1,gInks[1].Al.xAlrVacuum2
Inks.Alarm.inks.Al.xAlrVacuumSensor1_B01,xAlrVacuumSensor1_B01,xAlrVacuumSensor1_B01,NoValue,NoValue,10104,1,gInks[1].Al.xAlrVacuumSensor1
Inks.Alarm.inks.Al.xAlrVacuumSensor2_B01,xAlrVacuumSensor2_B01,xAlrVacuumSensor2_B01,NoValue,NoValue,10105,1,gInks[1].Al.xAlrVacuumSensor2
Inks.Alarm.inks.Al.xAlrDiffVacuum_B01,xAlrDiffVacuum_B01,xAlrDiffVacuum_B01,NoValue,NoValue,10106,1,gInks[1].Al.xAlrDiffVacuum
Inks.Alarm.inks.Al.xAlrIncoherTempHeat_B01,xAlrIncoherTempHeat_B01,xAlrIncoherTempHeat_B01,NoValue,NoValue,10107,1,gInks[1].Al.xAlrIncoherTempHeat
Inks.Alarm.inks.Al.xAlrHeaterReachsMaxTemp_B01,xAlrHeaterReachsMaxTemp_B01,xAlrHeaterReachsMaxTemp_B01,NoValue,NoValue,10108,2,gInks[1].Al.xAlrHeaterReachsMaxTemp
Inks.Alarm.inks.Al.xAlrTempSensor_B01,xAlrTempSensor_B01,xAlrTempSensor_B01,NoValue,NoValue,10109,1,gInks[1].Al.xAlrTempSensor
Inks.Alarm.inks.Al.xAlrDiffInCtrlTemp_B01,xAlrDiffInCtrlTemp_B01,xAlrDiffInCtrlTemp_B01,NoValue,NoValue,10110,2,gInks[1].Al.xAlrDiffInCtrlTemp
Inks.Alarm.inks.Al.xAlrDifCtrlTempExcessive_B01,xAlrDifCtrlTempExcessive_B01,xAlrDifCtrlTempExcessive_B01,NoValue,NoValue,10111,1,gInks[1].Al.xAlrDifCtrlTempExcessive
Inks.Alarm.inks.Al.xAlrHeaterOutFault_B01,xAlrHeaterOutFault_B01,xAlrHeaterOutFault_B01,NoValue,NoValue,10112,1,gInks[1].Al.xAlrHeaterOutFault
Inks.Alarm.inks.Al.xAlrOverPressure_B01,xAlrOverPressure_B01,xAlrOverPressure_B01,NoValue,NoValue,10113,1,gInks[1].Al.xAlrOverPressure
Inks.Alarm.inks.Al.xAlrStopRecircNoInk_B01,xAlrStopRecircNoInk_B01,xAlrStopRecircNoInk_B01,NoValue,NoValue,10114,1,gInks[1].Al.xAlrStopRecircNoInk
Inks.Alarm.inks.Al.xAlrBrokenMeniscus_B01,xAlrBrokenMeniscus_B01,xAlrBrokenMeniscus_B01,NoValue,NoValue,10115,1,gInks[1].Al.xAlrBrokenMeniscus
Inks.Alarm.inks.Al.xAlrLevelSensorError_B01,xAlrLevelSensorError_B01,xAlrLevelSensorError_B01,NoValue,NoValue,10116,1,gInks[1].Al.xAlrLevelSensorError
Inks.Alarm.inks.Al.xAlrTankEmpty_B01,xAlrTankEmpty_B01,xAlrTankEmpty_B01,NoValue,NoValue,10117,1,gInks[1].Al.xAlrTankEmpty
Inks.Alarm.inks.Al.xAlrTankToFillIn_B01,xAlrTankToFillIn_B01,xAlrTankToFillIn_B01,NoValue,NoValue,10118,2,gInks[1].Al.xAlrTankToFillIn
Inks.Alarm.inks.Al.xAlrPumpsDCError_B01,xAlrPumpsDCError_B01,xAlrPumpsDCError_B01,NoValue,NoValue,10119,1,gInks[1].Al.xAlrPumpsDCError
Inks.Alarm.inks.Al.xAlrKlixonTriggered_B01,xAlrKlixonTriggered_B01,xAlrKlixonTriggered_B01,NoValue,NoValue,10120,2,gInks[1].Al.xAlrKlixonTriggered
Inks.Alarm.inks.Al.xAlrPrintHeadPsuFailure_B01,xAlrTankEmpty_B01,xAlrTankEmpty_B01,NoValue,NoValue,10121,2,gInks[1].Al.xAlrPrintHeadPsuFailure
,,,,,,,
,,,,,,,
Inks.Alarm.DigSensError_B02,Inks.Alarm.DigSensError_B02,Inks.Alarm.DigSensError_B02,NoValue,NoValue,10201,1,gInks[2].Al.xAlrTankDigitalSensorsError
Inks.Alarm.xAlrVacuum1_B02,xAlrVacuum1_B02,xAlrVacuum1_B02,NoValue,NoValue,10202,1,gInks[2].Al.xAlrVacuum1
Inks.Alarm.xAlrVacuum2_B02,xAlrVacuum2_B02,xAlrVacuum2_B02,NoValue,NoValue,10203,1,gInks[2].Al.xAlrVacuum2
Inks.Alarm.inks.Al.xAlrVacuumSensor1_B02,xAlrVacuumSensor1_B02,xAlrVacuumSensor1_B02,NoValue,NoValue,10204,1,gInks[2].Al.xAlrVacuumSensor1
Inks.Alarm.inks.Al.xAlrVacuumSensor2_B02,xAlrVacuumSensor2_B02,xAlrVacuumSensor2_B02,NoValue,NoValue,10205,1,gInks[2].Al.xAlrVacuumSensor2
Inks.Alarm.inks.Al.xAlrDiffVacuum_B02,xAlrDiffVacuum_B02,xAlrDiffVacuum_B02,NoValue,NoValue,10206,1,gInks[2].Al.xAlrDiffVacuum
Inks.Alarm.inks.Al.xAlrIncoherTempHeat_B02,xAlrIncoherTempHeat_B02,xAlrIncoherTempHeat_B02,NoValue,NoValue,10207,1,gInks[2].Al.xAlrIncoherTempHeat
Inks.Alarm.inks.Al.xAlrHeaterReachsMaxTemp_B02,xAlrHeaterReachsMaxTemp_B02,xAlrHeaterReachsMaxTemp_B02,NoValue,NoValue,10208,2,gInks[2].Al.xAlrHeaterReachsMaxTemp
Inks.Alarm.inks.Al.xAlrTempSensor_B02,xAlrTempSensor_B02,xAlrTempSensor_B02,NoValue,NoValue,10209,1,gInks[2].Al.xAlrTempSensor
Inks.Alarm.inks.Al.xAlrDiffInCtrlTemp_B02,xAlrDiffInCtrlTemp_B02,xAlrDiffInCtrlTemp_B02,NoValue,NoValue,10210,2,gInks[2].Al.xAlrDiffInCtrlTemp
Inks.Alarm.inks.Al.xAlrDifCtrlTempExcessive_B02,xAlrDifCtrlTempExcessive_B02,xAlrDifCtrlTempExcessive_B02,NoValue,NoValue,10211,1,gInks[2].Al.xAlrDifCtrlTempExcessive
Inks.Alarm.inks.Al.xAlrHeaterOutFault_B02,xAlrHeaterOutFault_B02,xAlrHeaterOutFault_B02,NoValue,NoValue,10212,1,gInks[2].Al.xAlrHeaterOutFault
