TextID,EN,ES,DE,FR,AlarmCode,AlarmSeverity,AlarmVar
Dryer.Alarm.GenCritical,Dryer Critical Alarm,Alarms Critical General,NoValue,NoValue,10001,1,gDryer.AlSummary.xAlarmCritical
Dryer.Alarm.GenStop,Dryer Stop Alarm,Alarma Paro General,NoValue,NoValue,10002,1,gDryer.AlSummary.xAlarmStop
Dryer.Alarm.GenStopDrying,Dryer Stop Drying  Alarm,Alarma Paro Secado General,NoValue,NoValue,10003,1,gDryer.Al.xAlrStopDrying
Dryer.Alarm.FanBreakers,Fan Breakers error,Fallo Proteccion ventiladores,NoValue,NoValue,10004,1,gDryer.Al.Alarm.xFanBreakers
Dryer.Alarm.FansPsu,Fan PSU error,Fallo Fuente ventiladores,NoValue,NoValue,10005,1,gDryer.Al.Alarm.xFan24Vdc
Dryer.Alarm.MainPsu,Main PSU error,Fallo Fuente principal,NoValue,NoValue,10006,1,gDryer.Al.Alarm.xMain24Vdc
Dryer.Alarm.MountedMedia,Mounted Media,Pieza montada,NoValue,NoValue,10007,1,gDryer.Al.Alarm.xAlarmMountedMedia
Dryer.Alarm.EstopFront,Emergency Stop Front ,Seta Delantera,NoValue,NoValue,10008,1,gDryer.Al.Alarm.Safety.xEStopFront
Dryer.Alarm.EstopRear,Emergency Stop Rear ,Seta Trasera Entrada,NoValue,NoValue,10009,1,gDryer.Al.Alarm.Safety.xEStopRear
Dryer.Alarm.EstopRemote,Emergency Stop Remote,Seta Externa,NoValue,NoValue,10011,1,gDryer.Al.Alarm.Safety.xRemoteEStop
Dryer.Alarm.WrongPhysConfig,Wrong physical configuration,Configuracion fisica erronea,NoValue,NoValue,10012,1,gDryer.Al.Alarm.xAlrWrongPhysConf
Dryer.Alarm.OvertorqueBelt,Overtorque in Belt. Break risk,Sobrepar en banda. Riesgo de rotura,NoValue,NoValue,10013,1,gDryer.Al.Alarm.xAlrBeltOvertorque
Dryer.Alarm.OverTempBeltFast,Overtemp in Belt. Break risk. Fast,Sobretemp en banda. Riesgo de rotura. Rapido,NoValue,NoValue,10014,1,gDryer.Al.Alarm.xAlrBeltOverTempFast
